City,State Code,State Name
Abohar,3,PUNJAB
Achalpur,27,MAHARASHTRA
Adilabad,28,ANDHRA PRADESH
Adityapur,20,JHARKHAND
Adoni,28,ANDHRA PRADESH
Agartala,16,TRIPURA
Agra,9,UTTAR PRADESH
Ahmadabad,24,GUJARAT
Ahmadnagar,27,MAHARASHTRA
Aizawl,15,MIZORAM
Ajmer,8,RAJASTHAN
Akbarpur,9,UTTAR PRADESH
Akola,27,MAHARASHTRA
Alandur,33,TAMIL NADU
Alappuzha,32,KERALA
Aligarh,9,UTTAR PRADESH
Allahabad,9,UTTAR PRADESH
Alwar,8,RAJASTHAN
Ambala,6,HARYANA
Ambala Sadar,6,HARYANA
Ambarnath,27,MAHARASHTRA
Ambattur,33,TAMIL NADU
Ambikapur,22,CHHATTISGARH
Ambur,33,TAMIL NADU
Amravati,27,MAHARASHTRA
Amreli,24,GUJARAT
Amritsar,3,PUNJAB
Amroha,9,UTTAR PRADESH
Anand,24,GUJARAT
Anantapur,28,ANDHRA PRADESH
Anantnag,1,JAMMU & KASHMIR
Arrah,10,BIHAR
Asansol,19,WEST BENGAL
Ashoknagar Kalyangarh,19,WEST BENGAL
Aurangabad,10,BIHAR
Aurangabad,27,MAHARASHTRA
Avadi,33,TAMIL NADU
Azamgarh,9,UTTAR PRADESH
Badlapur,27,MAHARASHTRA
Bagaha,10,BIHAR
Bagalkot,29,KARNATAKA
Bahadurgarh,6,HARYANA
Baharampur,19,WEST BENGAL
Bahraich,9,UTTAR PRADESH
Baidyabati,19,WEST BENGAL
Baleshwar Town,21,ORISSA
Ballia,9,UTTAR PRADESH
Bally,19,WEST BENGAL
Bally City,19,WEST BENGAL
Balurghat,19,WEST BENGAL
Banda,9,UTTAR PRADESH
Bankura,19,WEST BENGAL
Bansberia,19,WEST BENGAL
Banswara,8,RAJASTHAN
Baran,8,RAJASTHAN
Baranagar,19,WEST BENGAL
Barasat,19,WEST BENGAL
Baraut,9,UTTAR PRADESH
Barddhaman,19,WEST BENGAL
Bareilly,9,UTTAR PRADESH
Baripada Town,21,ORISSA
Barnala,3,PUNJAB
Barrackpur,19,WEST BENGAL
Barshi,27,MAHARASHTRA
Basirhat,19,WEST BENGAL
Basti,9,UTTAR PRADESH
Batala,3,PUNJAB
Bathinda,3,PUNJAB
Beawar,8,RAJASTHAN
Begusarai,10,BIHAR
Belgaum,29,KARNATAKA
Bellary,29,KARNATAKA
Bengaluru,29,KARNATAKA
Bettiah,10,BIHAR
Betul,23,MADHYA PRADESH
Bhadrak,21,ORISSA
Bhadravati,29,KARNATAKA
Bhadreswar,19,WEST BENGAL
Bhagalpur,10,BIHAR
Bhalswa Jahangir Pur,7,NCT OF DELHI
Bharatpur,8,RAJASTHAN
Bharuch,24,GUJARAT
Bhatpara,19,WEST BENGAL
Bhavnagar,24,GUJARAT
Bhilai Nagar,22,CHHATTISGARH
Bhilwara,8,RAJASTHAN
Bhimavaram,28,ANDHRA PRADESH
Bhind,23,MADHYA PRADESH
Bhiwadi,8,RAJASTHAN
Bhiwandi,27,MAHARASHTRA
Bhiwani,6,HARYANA
Bhopal,23,MADHYA PRADESH
Bhubaneswar Town,21,ORISSA
Bhuj,24,GUJARAT
Bhusawal,27,MAHARASHTRA
Bid,27,MAHARASHTRA
Bidar,29,KARNATAKA
Bidhan Nagar,19,WEST BENGAL
Biharsharif,10,BIHAR
Bijapur,29,KARNATAKA
Bikaner,8,RAJASTHAN
Bilaspur,22,CHHATTISGARH
Bokaro Steel City,20,JHARKHAND
Bongaon,19,WEST BENGAL
Botad,24,GUJARAT
Brahmapur Town,21,ORISSA
Budaun,9,UTTAR PRADESH
Bulandshahr,9,UTTAR PRADESH
Bundi,8,RAJASTHAN
Burari,7,NCT OF DELHI
Burhanpur,23,MADHYA PRADESH
Buxar,10,BIHAR
Champdani,19,WEST BENGAL
Chandannagar,19,WEST BENGAL
Chandausi,9,UTTAR PRADESH
Chandigarh,4,CHANDIGARH
Chandrapur,27,MAHARASHTRA
Chapra,10,BIHAR
Chas,20,JHARKHAND
Chennai,33,TAMIL NADU
Chhattarpur,23,MADHYA PRADESH
Chhindwara,23,MADHYA PRADESH
Chikmagalur,29,KARNATAKA
Chilakaluripet,28,ANDHRA PRADESH
Chitradurga,29,KARNATAKA
Chittaurgarh,8,RAJASTHAN
Chittoor,28,ANDHRA PRADESH
Churu,8,RAJASTHAN
Coimbatore,33,TAMIL NADU
Cuddalore,33,TAMIL NADU
Cuttack,21,ORISSA
Dabgram,19,WEST BENGAL
Dallo Pura,7,NCT OF DELHI
Damoh,23,MADHYA PRADESH
Darbhanga,10,BIHAR
Darjiling,19,WEST BENGAL
Datia,23,MADHYA PRADESH
Davanagere,29,KARNATAKA
Deesa,24,GUJARAT
Dehradun,5,UTTARAKHAND
Dehri,10,BIHAR
Delhi,7,NCT OF DELHI
Delhi Cantonment,7,NCT OF DELHI
Deoghar,20,JHARKHAND
Deoli,7,NCT OF DELHI
Deoria,9,UTTAR PRADESH
Dewas,23,MADHYA PRADESH
Dhanbad,20,JHARKHAND
Dharmavaram,28,ANDHRA PRADESH
Dhaulpur,8,RAJASTHAN
Dhule,27,MAHARASHTRA
Dibrugarh,18,ASSAM
Dimapur,13,NAGALAND
Dinapur Nizamat,10,BIHAR
Dindigul,33,TAMIL NADU
Dum Dum,19,WEST BENGAL
Durg,22,CHHATTISGARH
Durgapur,19,WEST BENGAL
Eluru,28,ANDHRA PRADESH
English Bazar,19,WEST BENGAL
Erode,33,TAMIL NADU
